owning_agency_name,reporting_agency_name,submission_period,allocation_transfer_agency_identifier_code,agency_identifier_code,beginning_period_of_availability,ending_period_of_availability,availability_type_code,main_account_code,sub_account_code,treasury_account_symbol,treasury_account_name,agency_identifier_name,allocation_transfer_agency_identifier_name,budget_function,budget_subfunction,federal_account_symbol,federal_account_name,program_activity_code,program_activity_name,object_class_code,object_class_name,direct_or_reimbursable_funding_source,disaster_emergency_fund_code,disaster_emergency_fund_name,transaction_obligated_amount,gross_outlay_amount_FYB_to_period_end,USSGL487200_downward_adj_prior_year_prepaid_undeliv_order_oblig,USSGL497200_downward_adj_of_prior_year_paid_deliv_orders_oblig,award_unique_key,award_id_piid,parent_award_id_piid,award_id_fain,award_id_uri,award_base_action_date,award_base_action_date_fiscal_year,award_latest_action_date,award_latest_action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,ordering_period_end_date,award_type_code,award_type,idv_type_code,idv_type,prime_award_base_transaction_description,awarding_agency_code,awarding_agency_name,awarding_subagency_code,awarding_subagency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,recipient_uei,recipient_duns,recipient_name,recipient_name_raw,recipient_parent_uei,recipient_parent_duns,recipient_parent_name,recipient_parent_name_raw,recipient_country,recipient_state,recipient_county,recipient_city,prime_award_summary_recipient_cd_original,prime_award_summary_recipient_cd_current,recipient_zip_code,primary_place_of_performance_country,primary_place_of_performance_state,primary_place_of_performance_county,prime_award_summary_place_of_performance_cd_original,prime_award_summary_place_of_performance_cd_current,primary_place_of_performance_zip_code,cfda_number,cfda_title,product_or_service_code,product_or_service_code_description,naics_code,naics_description,national_interest_action_code,national_interest_action,usaspending_permalink,last_modified_date
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2018Q4,,080,2018,2019,,0120,000,080-2018/2019-0120-000,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,,"General Science, Space, and Technology","Space flight, research, and supporting activities",080-0120,"Science, National Aeronautics and Space Administration",0001,SCIENCE (DIRECT),25.5,Research and development contracts,D,,,100000.00,,,,CONT_AWD_80LARC18F0192_8000_NNL15AA02B_8000,80LARC18F0192,NNL15AA02B,,,2018-09-19,2018,2024-04-04,2024,2018-09-19,2019-09-30,,C,DELIVERY ORDER,,,"JAMES WEBB SPACE TELESCOPE SUPPORT INDEPENDENT REVIEW BOARD PHASE 2.EVALUATE ALL FACTORS, INCLUDING THOSE IDENTIFIED BY THE PROJECT INFLUENCING MISSION SUCCESS TO ENSURE THAT NASAS APPROACH TO COMPLETING THE INTEGRATION AND TESTING LAUNCH CAMPAIGN AND THE COMMISSIONING OF THE MISSION IS APPROPRIATE FOR NASAS NEXT FLAGSHIP OBSERVATORY.",080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80LARC,NASA LANGLEY RESEARCH CENTER,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80LARC,NASA LANGLEY RESEARCH CENTER,GXW2CL8CGKC1,,CORNELL TECHNICAL SERVICES LLC,CORNELL TECHNICAL SERVICES LLC,GXW2CL8CGKC1,GXW2CL8CGKC1,CORNELL TECHNICAL SERVICES LLC,CORNELL TECHNICAL SERVICES LLC,USA,MD,HOWARD,COLUMBIA,MD-03,MD-03,210461605,UNITED STATES,VIRGINIA,HAMPTON CITY,VA-03,VA-03,236812199,,,AR66,R&D- SPACE: STATION (MANAGEMENT/SUPPORT),541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",,,https://www.usaspending.gov/award/CONT_AWD_80LARC18F0192_8000_NNL15AA02B_8000/,2018-11-13
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2019Q1,,080,2019,2020,,0120,000,080-2019/2020-0120-000,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,,"General Science, Space, and Technology","Space flight, research, and supporting activities",080-0120,"Science, National Aeronautics and Space Administration",0001,SCIENCE (DIRECT),25.5,Research and development contracts,D,,,127702.00,,,,CONT_AWD_80LARC18F0192_8000_NNL15AA02B_8000,80LARC18F0192,NNL15AA02B,,,2018-09-19,2018,2024-04-04,2024,2018-09-19,2019-09-30,,C,DELIVERY ORDER,,,"JAMES WEBB SPACE TELESCOPE SUPPORT INDEPENDENT REVIEW BOARD PHASE 2.EVALUATE ALL FACTORS, INCLUDING THOSE IDENTIFIED BY THE PROJECT INFLUENCING MISSION SUCCESS TO ENSURE THAT NASAS APPROACH TO COMPLETING THE INTEGRATION AND TESTING LAUNCH CAMPAIGN AND THE COMMISSIONING OF THE MISSION IS APPROPRIATE FOR NASAS NEXT FLAGSHIP OBSERVATORY.",080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80LARC,NASA LANGLEY RESEARCH CENTER,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80LARC,NASA LANGLEY RESEARCH CENTER,GXW2CL8CGKC1,,CORNELL TECHNICAL SERVICES LLC,CORNELL TECHNICAL SERVICES LLC,GXW2CL8CGKC1,GXW2CL8CGKC1,CORNELL TECHNICAL SERVICES LLC,CORNELL TECHNICAL SERVICES LLC,USA,MD,HOWARD,COLUMBIA,MD-03,MD-03,210461605,UNITED STATES,VIRGINIA,HAMPTON CITY,VA-03,VA-03,236812199,,,AR66,R&D- SPACE: STATION (MANAGEMENT/SUPPORT),541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",,,https://www.usaspending.gov/award/CONT_AWD_80LARC18F0192_8000_NNL15AA02B_8000/,2019-03-13
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2019Q3,,080,2019,2020,,0120,000,080-2019/2020-0120-000,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,,"General Science, Space, and Technology","Space flight, research, and supporting activities",080-0120,"Science, National Aeronautics and Space Administration",0001,SCIENCE (DIRECT),25.5,Research and development contracts,D,,,-127702.00,,,,CONT_AWD_80LARC18F0192_8000_NNL15AA02B_8000,80LARC18F0192,NNL15AA02B,,,2018-09-19,2018,2024-04-04,2024,2018-09-19,2019-09-30,,C,DELIVERY ORDER,,,"JAMES WEBB SPACE TELESCOPE SUPPORT INDEPENDENT REVIEW BOARD PHASE 2.EVALUATE ALL FACTORS, INCLUDING THOSE IDENTIFIED BY THE PROJECT INFLUENCING MISSION SUCCESS TO ENSURE THAT NASAS APPROACH TO COMPLETING THE INTEGRATION AND TESTING LAUNCH CAMPAIGN AND THE COMMISSIONING OF THE MISSION IS APPROPRIATE FOR NASAS NEXT FLAGSHIP OBSERVATORY.",080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80LARC,NASA LANGLEY RESEARCH CENTER,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80LARC,NASA LANGLEY RESEARCH CENTER,GXW2CL8CGKC1,,CORNELL TECHNICAL SERVICES LLC,CORNELL TECHNICAL SERVICES LLC,GXW2CL8CGKC1,GXW2CL8CGKC1,CORNELL TECHNICAL SERVICES LLC,CORNELL TECHNICAL SERVICES LLC,USA,MD,HOWARD,COLUMBIA,MD-03,MD-03,210461605,UNITED STATES,VIRGINIA,HAMPTON CITY,VA-03,VA-03,236812199,,,AR66,R&D- SPACE: STATION (MANAGEMENT/SUPPORT),541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",,,https://www.usaspending.gov/award/CONT_AWD_80LARC18F0192_8000_NNL15AA02B_8000/,2019-08-01
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2019Q3,,080,2018,2019,,0120,000,080-2018/2019-0120-000,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,,"General Science, Space, and Technology","Space flight, research, and supporting activities",080-0120,"Science, National Aeronautics and Space Administration",0001,SCIENCE (DIRECT),25.5,Research and development contracts,D,,,-131.00,,,,CONT_AWD_80LARC18F0192_8000_NNL15AA02B_8000,80LARC18F0192,NNL15AA02B,,,2018-09-19,2018,2024-04-04,2024,2018-09-19,2019-09-30,,C,DELIVERY ORDER,,,"JAMES WEBB SPACE TELESCOPE SUPPORT INDEPENDENT REVIEW BOARD PHASE 2.EVALUATE ALL FACTORS, INCLUDING THOSE IDENTIFIED BY THE PROJECT INFLUENCING MISSION SUCCESS TO ENSURE THAT NASAS APPROACH TO COMPLETING THE INTEGRATION AND TESTING LAUNCH CAMPAIGN AND THE COMMISSIONING OF THE MISSION IS APPROPRIATE FOR NASAS NEXT FLAGSHIP OBSERVATORY.",080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80LARC,NASA LANGLEY RESEARCH CENTER,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80LARC,NASA LANGLEY RESEARCH CENTER,GXW2CL8CGKC1,,CORNELL TECHNICAL SERVICES LLC,CORNELL TECHNICAL SERVICES LLC,GXW2CL8CGKC1,GXW2CL8CGKC1,CORNELL TECHNICAL SERVICES LLC,CORNELL TECHNICAL SERVICES LLC,USA,MD,HOWARD,COLUMBIA,MD-03,MD-03,210461605,UNITED STATES,VIRGINIA,HAMPTON CITY,VA-03,VA-03,236812199,,,AR66,R&D- SPACE: STATION (MANAGEMENT/SUPPORT),541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",,,https://www.usaspending.gov/award/CONT_AWD_80LARC18F0192_8000_NNL15AA02B_8000/,2019-08-01
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2024P07,,080,2018,2019,,0120,000,080-2018/2019-0120-000,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,,"General Science, Space, and Technology","Space flight, research, and supporting activities",080-0120,"Science, National Aeronautics and Space Administration",0001,SCIENCE (DIRECT),25.5,Research and development contracts,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,-0.58,,,,CONT_AWD_80LARC18F0192_8000_NNL15AA02B_8000,80LARC18F0192,NNL15AA02B,,,2018-09-19,2018,2024-04-04,2024,2018-09-19,2019-09-30,,C,DELIVERY ORDER,,,"JAMES WEBB SPACE TELESCOPE SUPPORT INDEPENDENT REVIEW BOARD PHASE 2.EVALUATE ALL FACTORS, INCLUDING THOSE IDENTIFIED BY THE PROJECT INFLUENCING MISSION SUCCESS TO ENSURE THAT NASAS APPROACH TO COMPLETING THE INTEGRATION AND TESTING LAUNCH CAMPAIGN AND THE COMMISSIONING OF THE MISSION IS APPROPRIATE FOR NASAS NEXT FLAGSHIP OBSERVATORY.",080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80LARC,NASA LANGLEY RESEARCH CENTER,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80LARC,NASA LANGLEY RESEARCH CENTER,GXW2CL8CGKC1,,CORNELL TECHNICAL SERVICES LLC,CORNELL TECHNICAL SERVICES LLC,GXW2CL8CGKC1,GXW2CL8CGKC1,CORNELL TECHNICAL SERVICES LLC,CORNELL TECHNICAL SERVICES LLC,USA,MD,HOWARD,COLUMBIA,MD-03,MD-03,210461605,UNITED STATES,VIRGINIA,HAMPTON CITY,VA-03,VA-03,236812199,,,AR66,R&D- SPACE: STATION (MANAGEMENT/SUPPORT),541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",,,https://www.usaspending.gov/award/CONT_AWD_80LARC18F0192_8000_NNL15AA02B_8000/,2024-05-22
National Aeronautics and Space Administration,National Aeronautics and Space Administration,FY2024P07,,080,2018,2019,,0120,000,080-2018/2019-0120-000,"Science, National Aeronautics and Space Administration",National Aeronautics and Space Administration,,"General Science, Space, and Technology","Space flight, research, and supporting activities",080-0120,"Science, National Aeronautics and Space Administration",0001,SCIENCE (DIRECT),25.5,Research and development contracts,D,Q,Not Designated Nonemergency/Emergency/Disaster/Wildfire Suppression,-1501.00,,,,CONT_AWD_80LARC18F0192_8000_NNL15AA02B_8000,80LARC18F0192,NNL15AA02B,,,2018-09-19,2018,2024-04-04,2024,2018-09-19,2019-09-30,,C,DELIVERY ORDER,,,"JAMES WEBB SPACE TELESCOPE SUPPORT INDEPENDENT REVIEW BOARD PHASE 2.EVALUATE ALL FACTORS, INCLUDING THOSE IDENTIFIED BY THE PROJECT INFLUENCING MISSION SUCCESS TO ENSURE THAT NASAS APPROACH TO COMPLETING THE INTEGRATION AND TESTING LAUNCH CAMPAIGN AND THE COMMISSIONING OF THE MISSION IS APPROPRIATE FOR NASAS NEXT FLAGSHIP OBSERVATORY.",080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80LARC,NASA LANGLEY RESEARCH CENTER,080,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,80LARC,NASA LANGLEY RESEARCH CENTER,GXW2CL8CGKC1,,CORNELL TECHNICAL SERVICES LLC,CORNELL TECHNICAL SERVICES LLC,GXW2CL8CGKC1,GXW2CL8CGKC1,CORNELL TECHNICAL SERVICES LLC,CORNELL TECHNICAL SERVICES LLC,USA,MD,HOWARD,COLUMBIA,MD-03,MD-03,210461605,UNITED STATES,VIRGINIA,HAMPTON CITY,VA-03,VA-03,236812199,,,AR66,R&D- SPACE: STATION (MANAGEMENT/SUPPORT),541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",,,https://www.usaspending.gov/award/CONT_AWD_80LARC18F0192_8000_NNL15AA02B_8000/,2024-05-22
