fiscal_year,fiscal_period,fiscal_period_abbr,cumulative_outlay
2024,2,Oct/Nov,9715.73
2024,3,Dec,9715.73
2024,4,Jan,9715.73
2024,5,Feb,9715.73
2024,6,Mar,9715.73
2024,7,Apr,9715.73
2024,8,May,9715.73
2024,9,Jun,9715.73
2024,10,Jul,9715.73
2024,11,Aug,9715.73
2024,12,Sep,9715.73
2020,8,May,104899.71
2020,9,Jun,104899.71
2020,10,Jul,104899.71
2020,11,Aug,104899.71
2020,12,Sep,104899.71
