fiscal_year,fiscal_period,fiscal_period_abbr,monthly_outlay,cumulative_outlay
2024,2,Oct/Nov,9715.73,9715.73
2024,3,Dec,0.0,9715.73
2024,4,Jan,0.0,9715.73
2024,5,Feb,0.0,9715.73
2024,6,Mar,0.0,9715.73
2024,7,Apr,0.0,9715.73
2024,8,May,0.0,9715.73
2024,9,Jun,0.0,9715.73
2024,10,Jul,0.0,9715.73
2024,11,Aug,0.0,9715.73
2024,12,Sep,0.0,9715.73
2020,8,May,104899.71,104899.71
2020,9,Jun,0.0,104899.71
2020,10,Jul,0.0,104899.71
2020,11,Aug,0.0,104899.71
2020,12,Sep,0.0,104899.71
